mode,max_score,lambda_blend,shared_lambda,classifier_power,prior_power,AW-MAE,MAE_raw_component,exact_acc,outcome_acc,goal_diff_acc
bivar_poisson_expected_awmae,5,1.0,0.15,0.5,0.25,2.935589408052116,1.0075209444021325,0.1151942117288652,0.5961538461538461,0.2246128458999746
bivar_poisson_expected_awmae,5,0.25,0.0,0.0,0.0,2.935819095309522,1.007996953541508,0.11354404671236354,0.5866971312515867,0.23673521198273673
bivar_poisson_expected_awmae,5,0.5,0.06,0.0,0.25,2.935899694421749,1.0087903021071338,0.11951002792586951,0.5813658288905814,0.24244732165524244
bivar_poisson_expected_awmae,4,1.0,0.1,0.5,0.25,2.936296436627116,1.0104404671236353,0.11398832190911398,0.595963442498096,0.22404163493272405
bivar_poisson_expected_awmae,4,1.0,0.15,0.5,0.25,2.936457949136438,1.0091711094186342,0.1151942117288652,0.5956461030718456,0.22454937801472455
bivar_poisson_expected_awmae,5,0.25,0.1,0.0,0.0,2.9368766370125052,1.0057121096725057,0.11348057882711349,0.5835872048743336,0.23775069814673774
bivar_poisson_expected_awmae,5,0.5,0.0,0.0,0.25,2.936922453493003,1.011075145976136,0.11773292713886774,0.5831429296775832,0.2421934501142422
bivar_poisson_expected_awmae,4,0.5,0.0,0.0,0.0,2.937104774391189,1.0122810357958874,0.11297283574511298,0.5867605991368368,0.238004569687738
bivar_poisson_expected_awmae,4,0.75,0.0,0.5,0.25,2.9371650997608447,1.0114559532876364,0.11506727595836506,0.5965346534653465,0.2241051028179741
bivar_poisson_expected_awmae,5,0.25,0.15,0.0,0.0,2.937352263572816,1.0038080731150039,0.11278243208936278,0.5806676821528307,0.23591012947448592
bivar_poisson_expected_awmae,5,0.75,0.03,0.5,0.25,2.9374438200181423,1.009012439705509,0.11563848692561564,0.5966615892358467,0.2244859101294745
bivar_poisson_expected_awmae,5,0.75,0.06,0.5,0.25,2.937957750142125,1.008980705762884,0.11595582635186595,0.5964077176948465,0.2248032495557248
bivar_poisson_expected_awmae,4,1.0,0.03,0.5,0.25,2.938069995162059,1.011106879918761,0.11246509266311247,0.5961538461538461,0.22264534145722265
bivar_poisson_expected_awmae,4,1.0,0.06,0.5,0.25,2.9381592536390917,1.0114242193450114,0.11246509266311247,0.5961538461538461,0.2230896166539731
bivar_poisson_expected_awmae,5,1.0,0.06,0.5,0.25,2.93820447170262,1.0088855039350089,0.11329017517136329,0.5964077176948465,0.22283574511297283
bivar_poisson_expected_awmae,5,1.0,0.1,0.5,0.25,2.9382238655214103,1.0084094947956335,0.1137979182533638,0.5957730388423458,0.22302614876872304
bivar_poisson_expected_awmae,4,1.0,0.15,0.5,0.0,2.938734506129259,1.0087585681645088,0.11106879918761108,0.5962807819243463,0.22023356181772025
bivar_poisson_expected_awmae,4,1.0,0.15,0.0,0.25,2.9389138203781635,1.0122810357958874,0.11944656004061945,0.5847930946940848,0.24206651434374207
bivar_poisson_expected_awmae,4,1.0,0.1,0.0,0.25,2.9392509595542315,1.0134551916730135,0.1183041381061183,0.585998984513836,0.24174917491749176
bivar_poisson_expected_awmae,4,1.0,0.06,0.0,0.25,2.939260047662394,1.0141216044681391,0.1184945417618685,0.5865067275958366,0.24187611068799186
bivar_poisson_expected_awmae,4,0.75,0.06,0.5,0.25,2.939590183607919,1.0115511551155116,0.11589235846661589,0.5957730388423458,0.224993653211475
bivar_poisson_expected_awmae,5,0.5,0.1,0.0,0.25,2.9397194156419317,1.0088537699923839,0.1191926884996192,0.5793983244478293,0.24212998222899212
bivar_poisson_expected_awmae,4,0.75,0.03,0.5,0.25,2.9397687342108547,1.0117732927138867,0.11525767961411526,0.5960903782685961,0.2241051028179741
bivar_poisson_expected_awmae,5,0.75,0.1,0.5,0.25,2.9413029909739197,1.0095519167301346,0.11614623000761615,0.5955826351865956,0.22505712109672504
bivar_poisson_expected_awmae,4,0.75,0.1,0.5,0.0,2.941399804613084,1.009869256156385,0.1104975882203605,0.5965346534653465,0.22004315816197004
bivar_poisson_expected_awmae,4,0.75,0.15,0.5,0.0,2.9416279762200404,1.0094567149022595,0.11119573495811119,0.5962807819243463,0.220995176440721
bivar_poisson_expected_awmae,5,0.75,0.15,0.5,0.25,2.9416821872646293,1.0085681645087585,0.11697131251586697,0.5946306169078446,0.22575526783447575
bivar_poisson_expected_awmae,4,0.75,0.1,0.5,0.25,2.9421872977472763,1.0114242193450114,0.11633663366336634,0.5951383599898451,0.22512058898197512
bivar_poisson_expected_awmae,4,0.75,0.06,0.0,0.25,2.942519047693491,1.01501015486164,0.11944656004061945,0.5837776085300838,0.24333587204874332
bivar_poisson_expected_awmae,4,0.75,0.15,0.5,0.25,2.9428719067690374,1.011043412033511,0.11659050520436659,0.5942498095963442,0.22512058898197512
bivar_poisson_expected_awmae,4,0.75,0.1,0.0,0.25,2.943381676343792,1.0133917237877634,0.11982736735211982,0.5826351865955827,0.24289159685199288
bivar_poisson_expected_awmae,4,0.75,0.0,0.0,0.25,2.943658749422983,1.0167555217060167,0.1183041381061183,0.5851104341203351,0.24289159685199288
bivar_poisson_expected_awmae,4,1.0,0.03,0.5,0.0,2.9438773282933477,1.012154100025387,0.11005331302361006,0.5978040111703478,0.21978928662096978
bivar_poisson_expected_awmae,5,0.5,0.15,0.0,0.25,2.943989974567276,1.0089172378776339,0.119002284843869,0.5774942878903275,0.24067022086824066
bivar_poisson_expected_awmae,4,1.0,0.1,0.5,0.0,2.9445069233958745,1.010821274435136,0.10992637725310993,0.5964077176948465,0.21934501142421933
bivar_poisson_expected_awmae,4,1.0,0.06,0.5,0.0,2.94467264099482,1.0118367605991367,0.10973597359735973,0.597105864432597,0.2190911398832191
bivar_poisson_expected_awmae,4,0.5,0.0,0.0,0.25,2.9449779943225574,1.0152640264026402,0.1197004315816197,0.5818101040873318,0.24352627570449353
bivar_poisson_expected_awmae,4,1.0,0.0,0.5,0.0,2.9450905027754843,1.0125983752221377,0.1097994414826098,0.5981213505965981,0.21947194719471946
bivar_poisson_expected_awmae,4,0.75,0.03,0.0,0.25,2.9454009383862867,1.016882457476517,0.1183041381061183,0.5842218837268343,0.243018532622493
bivar_poisson_expected_awmae,4,0.75,0.06,0.5,0.0,2.9454047747487953,1.0115511551155116,0.10954556994160955,0.5964077176948465,0.21953541507996954
bivar_poisson_expected_awmae,4,0.75,0.15,0.0,0.25,2.9454522433499744,1.0125349073368874,0.11951002792586951,0.5806676821528307,0.24225691799949226
bivar_poisson_expected_awmae,4,0.75,0.03,0.5,0.0,2.9459543752859036,1.0125666412795125,0.10903782685960904,0.5967885250063468,0.2190911398832191
bivar_poisson_expected_awmae,4,0.5,0.15,0.5,0.0,2.946143018081964,1.010916476263011,0.11106879918761108,0.5952652957603453,0.22251840568672251
bivar_poisson_expected_awmae,5,1.0,0.1,0.0,0.5,2.9466495251685356,1.0128205128205128,0.12446052297537447,0.5803503427265804,0.24517644072099518
