mode,max_score,draw_margin,outcome_weight,gd_weight,prior_weight,AW-MAE,MAE_raw_component,exact_acc,outcome_acc,goal_diff_acc
outcome_aware,4,0.2,0.35,0.03,0.01,2.9711286944366297,1.016977659304392,0.10148514851485149,0.5931073876618431,0.22746890073622747
outcome_aware,4,0.2,0.2,0.0,0.01,2.9711881381242815,1.0085046966235085,0.10421426758060422,0.5806042142675806,0.23387915714648388
outcome_aware,4,0.0,0.2,0.0,0.03,2.971295731198743,1.0093615130743843,0.1033891850723534,0.5816831683168316,0.23254633155623256
outcome_aware,4,0.1,0.2,0.1,0.03,2.971314302251054,1.0075526783447575,0.10370652449860371,0.5793348565625793,0.23311754252348313
outcome_aware,4,0.2,0.35,0.03,0.0,2.971441927045475,1.017104595074892,0.1018024879411018,0.5935516628585935,0.2275958365067276
outcome_aware,4,0.0,0.2,0.03,0.0,2.9715044632277188,1.009996191926885,0.10281797410510282,0.5821274435135821,0.23146737750698146
outcome_aware,5,0.0,0.2,0.06,0.06,2.9716365033527308,1.0082190911398832,0.10097740543285098,0.58009647118558,0.23115003808073115
outcome_aware,5,0.0,0.35,0.06,0.06,2.971674294911734,1.0185960903782687,0.09767707539984767,0.5953922315308454,0.22226453414572225
outcome_aware,4,0.1,0.2,0.06,0.01,2.9718223737189327,1.0086951002792588,0.10326224930185327,0.5804138106118304,0.2321020563594821
outcome_aware,5,0.1,0.35,0.1,0.06,2.9718255185928335,1.0156765676567656,0.09907336887534908,0.5924092409240924,0.22385123127697384
outcome_aware,4,0.1,0.2,0.03,0.03,2.971836417203266,1.0081873571972582,0.10396039603960396,0.5797156638740797,0.23273673521198274
outcome_aware,4,0.0,0.35,0.03,0.0,2.9718793159003947,1.0226580350342727,0.09894643310484895,0.6001523229246002,0.22347042396547348
outcome_aware,4,0.0,0.35,0.1,0.01,2.9718868430746506,1.0194529068291445,0.09926377253109926,0.5953287636455953,0.22404163493272405
outcome_aware,4,0.0,0.2,0.1,0.0,2.9719257724571104,1.0094884488448845,0.10275450621985276,0.5812388931200813,0.23248286367098248
outcome_aware,4,0.2,0.35,0.1,0.03,2.971967173061738,1.0151688245747652,0.1012947448591013,0.5905052043665905,0.2272150291952272
outcome_aware,4,0.1,0.2,0.03,0.01,2.9719903526701317,1.0090759075907592,0.1033891850723534,0.5809215536938309,0.23197512058898198
outcome_aware,4,0.1,0.2,0.1,0.06,2.971998666940074,1.0068227976643818,0.10351612084285351,0.5773673521198274,0.23273673521198274
outcome_aware,4,0.2,0.2,0.06,0.06,2.9721512608964895,1.0064737242955064,0.10408733181010409,0.5774308200050774,0.2341964965727342
outcome_aware,5,0.0,0.35,0.03,0.06,2.972179714232043,1.0200875856816451,0.09767707539984767,0.5964077176948465,0.22213759837522215
outcome_aware,4,0.2,0.2,0.0,0.0,2.972247661145717,1.0092663112465092,0.10357958872810358,0.5808580858085809,0.23318101040873318
outcome_aware,4,0.1,0.35,0.1,0.0,2.972320526790136,1.0187547600913938,0.0998984513835999,0.5942498095963442,0.224993653211475
outcome_aware,5,0.2,0.35,0.03,0.06,2.972373865153798,1.0155178979436406,0.10008885503935008,0.5915841584158416,0.22550139629347551
outcome_aware,4,0.0,0.2,0.1,0.01,2.9725724749439473,1.0092345773038842,0.10211982736735212,0.5804772784970805,0.23184818481848185
outcome_aware,4,0.2,0.35,0.0,0.01,2.9725818415595815,1.017104595074892,0.10173902005585174,0.5932977913175933,0.22746890073622747
outcome_aware,4,0.0,0.35,0.03,0.01,2.9727044566224774,1.0225310992637726,0.09856562579334857,0.598946433104849,0.2230896166539731
outcome_aware,5,0.0,0.35,0.1,0.06,2.9727526062312277,1.016945925361767,0.09862909367859862,0.5936151307438436,0.22334348819497335
outcome_aware,5,0.0,0.35,0.0,0.06,2.9727527901701243,1.0216108149276466,0.09735973597359736,0.5987560294490988,0.22175679106372176
outcome_aware,5,0.2,0.35,0.06,0.06,2.9727754713600123,1.0152957603452653,0.09926377253109926,0.5912033511043412,0.22512058898197512
outcome_aware,4,0.1,0.2,0.0,0.03,2.9728098629643482,1.0087268342218838,0.10376999238385377,0.5802234069560802,0.23254633155623256
outcome_aware,4,0.2,0.2,0.06,0.03,2.972833914911944,1.0073940086316324,0.10415079969535415,0.5784463061690784,0.2334983498349835
outcome_aware,4,0.0,0.35,0.0,0.03,2.9728951316248926,1.022943640517898,0.0985021579080985,0.5995811119573495,0.22283574511297283
outcome_aware,5,0.1,0.35,0.03,0.03,2.972960010504062,1.0202779893373952,0.0978040111703478,0.5963442498095963,0.2225818735719726
outcome_aware,4,0.1,0.2,0.03,0.0,2.9729745162205226,1.0095519167301346,0.10313531353135313,0.5808580858085809,0.23153084539223154
outcome_aware,4,0.1,0.2,0.06,0.0,2.973007389460206,1.0095201827875095,0.10262757044935263,0.5802234069560802,0.23134044173648133
outcome_aware,5,0.1,0.35,0.1,0.03,2.9730384729049013,1.0178344757552678,0.09831175425234831,0.5937420665143437,0.22334348819497335
outcome_aware,4,0.2,0.2,0.0,0.06,2.9730936748718353,1.006949733434882,0.10542015740035542,0.578002030972328,0.23502157908098503
outcome_aware,5,0.1,0.2,0.03,0.06,2.9732737382585612,1.0076796141152577,0.10211982736735212,0.5792079207920792,0.23115003808073115
outcome_aware,5,0.0,0.2,0.06,0.03,2.973288498666432,1.0093615130743843,0.1011043412033511,0.5811754252348311,0.2301980198019802
outcome_aware,5,0.2,0.35,0.03,0.03,2.9733811825329632,1.017009393247017,0.09958111195734957,0.5928535161208428,0.22524752475247525
outcome_aware,4,0.0,0.35,0.1,0.0,2.9734748340831234,1.0201510535668952,0.09932724041634933,0.5955191673013455,0.2242955064737243
outcome_aware,4,0.2,0.35,0.0,0.0,2.9736805621869835,1.0178027418126427,0.1012947448591013,0.5933612592028433,0.22702462553947703
outcome_aware,4,0.2,0.35,0.1,0.01,2.973870655463122,1.0164064483371413,0.10066006600660066,0.591012947448591,0.22645341457222645
outcome_aware,4,0.2,0.2,0.03,0.01,2.9739098745606825,1.0087585681645088,0.10389692815435389,0.5797156638740797,0.23305407463823305
outcome_aware,4,0.0,0.35,0.0,0.0,2.9740525209698694,1.0247842091901498,0.09704239654734705,0.6009774054328509,0.22105864432597105
outcome_aware,4,0.0,0.35,0.0,0.01,2.974122784571992,1.0238321909113988,0.09793094694084793,0.6002792586951002,0.22175679106372176
outcome_aware,5,0.1,0.35,0.06,0.03,2.974130041434549,1.0196115765422695,0.0978040111703478,0.595011424219345,0.22283574511297283
outcome_aware,5,0.0,0.2,0.0,0.01,2.9742318196995217,1.010916476263011,0.10116780908860117,0.5833968012185834,0.22975374460522976
outcome_aware,4,0.2,0.2,0.0,0.03,2.974249403883493,1.0082508250825082,0.10434120335110435,0.579017517136329,0.23375222137598375
outcome_aware,4,0.2,0.2,0.03,0.03,2.9742686015715454,1.0079652195988829,0.10446813912160446,0.5785097740543285,0.23375222137598375
outcome_aware,5,0.1,0.35,0.06,0.01,2.974321220481804,1.0204049251078955,0.09742320385884742,0.5956461030718456,0.2222010662604722
outcome_aware,5,0.0,0.2,0.1,0.03,2.9743501788948388,1.0092345773038842,0.10116780908860117,0.5805407463823306,0.2307057628839807
outcome_aware,5,0.1,0.35,0.0,0.03,2.974356456982486,1.0213252094440213,0.09812135059659813,0.5981848184818482,0.2227088093424727
outcome_aware,5,0.1,0.2,0.06,0.06,2.974527573538918,1.0078700177710078,0.10123127697385123,0.5786367098248286,0.23076923076923078
outcome_aware,5,0.2,0.35,0.1,0.06,2.974548283845804,1.0144706778370145,0.09977151561309977,0.5898070576288398,0.2253109926377253
outcome_aware,5,0.0,0.35,0.1,0.03,2.974557392940671,1.0191673013455191,0.0978040111703478,0.5948210205635949,0.2225818735719726
outcome_aware,5,0.0,0.2,0.1,0.06,2.9745975892522263,1.0082508250825082,0.1011043412033511,0.5786367098248286,0.2301980198019802
outcome_aware,5,0.0,0.2,0.0,0.0,2.9746357712988147,1.0113924854023864,0.10066006600660066,0.5836506727595836,0.2291825336379792
outcome_aware,5,0.1,0.35,0.0,0.0,2.9747060007262403,1.0224358974358974,0.09710586443259711,0.5991368367605991,0.22118558009647118
outcome_aware,4,0.1,0.2,0.1,0.0,2.97473520015746,1.0092345773038842,0.10294490987560294,0.5798425996445798,0.23203858847423203
outcome_aware,4,0.2,0.2,0.03,0.0,2.9747880349976095,1.0092028433612592,0.10364305661335364,0.5796521959888297,0.2326097994414826
outcome_aware,4,0.2,0.2,0.1,0.03,2.9747895801704183,1.0075526783447575,0.10415079969535415,0.5782559025133283,0.2338156892612338
outcome_aware,5,0.0,0.35,0.03,0.03,2.9749224028704124,1.0222454937801473,0.09697892866209698,0.5981848184818482,0.22118558009647118
outcome_aware,5,0.0,0.2,0.0,0.06,2.9750416793620618,1.0091076415333842,0.10192942371160194,0.5806676821528307,0.23089616653973088
outcome_aware,5,0.1,0.35,0.0,0.01,2.9750833479893752,1.021896420411272,0.09767707539984767,0.5986290936785986,0.22169332317847168
outcome_aware,5,0.0,0.2,0.06,0.01,2.975182660049774,1.0105039350088856,0.10091393754760092,0.582063975628332,0.22988068037572987
outcome_aware,4,0.2,0.2,0.06,0.01,2.975196074911654,1.0085364305661335,0.10376999238385377,0.5790809850215791,0.23286367098248287
outcome_aware,5,0.1,0.35,0.06,0.0,2.975204669850672,1.0211982736735212,0.09729626808834729,0.5962807819243463,0.22213759837522215
outcome_aware,4,0.2,0.2,0.1,0.06,2.9754495873221622,1.0068227976643818,0.10402386392485402,0.5764153338410765,0.2334983498349835
outcome_aware,4,0.1,0.2,0.1,0.01,2.975462422695048,1.008980705762884,0.10237369890835238,0.5791444529068291,0.23153084539223154
