mode,max_score,lambda_blend,shared_lambda,classifier_power,prior_power,dixon_rho,AW-MAE,MAE_raw_component,exact_acc,outcome_acc,goal_diff_acc
dixon_bivar_expected_awmae,5,0.75,0.1,0.0,0.0,-0.05,2.921409948127939,1.0054582381315054,0.1124016247778624,0.5912668189895912,0.23736989083523738
dixon_bivar_expected_awmae,5,0.5,0.15,0.0,0.0,0.05,2.9214494903956023,1.0056169078446306,0.11202081746636203,0.5912033511043412,0.2376237623762376
dixon_bivar_expected_awmae,5,1.0,0.06,0.0,0.0,-0.15,2.9214559860109626,1.005013962934755,0.11417872556486418,0.5914572226453415,0.23857578065498858
dixon_bivar_expected_awmae,5,1.0,0.1,0.0,0.0,-0.05,2.921533142181583,1.006061183041381,0.11221122112211221,0.5924727088093424,0.23552932216298553
dixon_bivar_expected_awmae,5,1.0,0.1,0.0,0.0,0.0,2.9216698256404188,1.0071718710332571,0.11106879918761108,0.5936151307438436,0.23432343234323433
dixon_bivar_expected_awmae,4,1.0,0.03,0.0,0.0,-0.1,2.9217356454889147,1.0089489718202589,0.11392485402386393,0.5900609291698401,0.2400990099009901
dixon_bivar_expected_awmae,5,0.75,0.1,0.0,0.0,-0.15,2.9217471928765573,1.0028560548362528,0.11348057882711349,0.5861893881695862,0.23813150545823814
dixon_bivar_expected_awmae,5,1.0,0.15,0.0,0.25,0.15,2.92181365537773,1.0086633663366336,0.11455953287636456,0.5912668189895912,0.2355927900482356
dixon_bivar_expected_awmae,4,1.0,0.15,0.0,0.0,-0.05,2.9219000985968884,1.0066641279512567,0.11386138613861387,0.5889185072353389,0.2385123127697385
dixon_bivar_expected_awmae,4,1.0,0.06,0.0,0.0,0.0,2.921929540219617,1.010979944148261,0.1130997715156131,0.5924727088093424,0.23781416603198782
dixon_bivar_expected_awmae,5,1.0,0.1,0.0,0.0,-0.15,2.9221130925805365,1.0041571464838792,0.11367098248286367,0.5901878649403401,0.23806803757298806
dixon_bivar_expected_awmae,5,1.0,0.15,0.0,0.0,-0.15,2.922137165029225,1.0025387154100025,0.11417872556486418,0.5885376999238385,0.23844884488448845
dixon_bivar_expected_awmae,5,0.75,0.06,0.0,0.0,-0.15,2.9221446348272537,1.004061944656004,0.11348057882711349,0.5877760853008378,0.23844884488448845
dixon_bivar_expected_awmae,5,1.0,0.06,0.0,0.25,0.1,2.922162086331206,1.01002792586951,0.11525767961411526,0.5912668189895912,0.23787763391723787
dixon_bivar_expected_awmae,5,0.5,0.15,0.0,0.0,0.1,2.922197314921226,1.0071718710332571,0.11043412033511044,0.5927900482355928,0.23546585427773548
dixon_bivar_expected_awmae,5,1.0,0.03,0.0,0.0,-0.15,2.922341685221267,1.0056803757298807,0.11449606499111449,0.5916476263010917,0.2387027164254887
dixon_bivar_expected_awmae,5,1.0,0.06,0.0,0.25,0.15,2.9223809181196723,1.010916476263011,0.1137979182533638,0.5922823051535923,0.23603706524498605
dixon_bivar_expected_awmae,5,1.0,0.15,0.0,0.25,0.1,2.9224383810869208,1.0080604214267581,0.11582889058136583,0.5900609291698401,0.23756029449098756
dixon_bivar_expected_awmae,4,1.0,0.06,0.0,0.0,-0.15,2.922470490722251,1.0068545316070068,0.11417872556486418,0.5868240670220868,0.2406067529829906
dixon_bivar_expected_awmae,5,1.0,0.1,0.0,0.25,0.1,2.922594665991057,1.0088537699923839,0.1157019548108657,0.5906321401370906,0.2376237623762376
dixon_bivar_expected_awmae,4,0.75,0.15,0.0,0.0,-0.05,2.9226084166043487,1.0044744859101296,0.11494034018786493,0.5844757552678345,0.23902005585173902
dixon_bivar_expected_awmae,5,1.0,0.06,0.0,0.0,0.0,2.92262760979845,1.007996953541508,0.11018024879411017,0.5934247270880935,0.232990606752983
dixon_bivar_expected_awmae,4,1.0,0.06,0.0,0.0,0.1,2.922640984876803,1.0128522467631378,0.1104975882203605,0.593932470170094,0.23394262503173394
dixon_bivar_expected_awmae,4,1.0,0.0,0.0,0.0,-0.1,2.922677524341827,1.0097740543285099,0.11468646864686469,0.5906956080223407,0.2406067529829906
dixon_bivar_expected_awmae,5,1.0,0.0,0.0,0.25,0.15,2.9226928795342233,1.0128205128205128,0.11246509266311247,0.5929169840060929,0.2357197258187357
dixon_bivar_expected_awmae,4,0.75,0.1,0.0,0.0,-0.1,2.922823694184001,1.0043475501396293,0.1164001015486164,0.5837776085300838,0.24016247778624017
dixon_bivar_expected_awmae,5,0.75,0.1,0.0,0.0,-0.1,2.922848385623363,1.0044744859101296,0.11278243208936278,0.5886011678090886,0.23756029449098756
dixon_bivar_expected_awmae,4,0.75,0.15,0.0,0.0,0.1,2.922944594674406,1.0102500634678853,0.11259202843361259,0.5931073876618431,0.23743335872048743
dixon_bivar_expected_awmae,5,1.0,0.03,0.0,0.0,0.0,2.923025621381221,1.008980705762884,0.10967250571210967,0.5936785986290937,0.232990606752983
dixon_bivar_expected_awmae,5,0.75,0.03,0.0,0.0,-0.05,2.9230418210927334,1.0080604214267581,0.11195734958111196,0.5925996445798426,0.23724295506473725
dixon_bivar_expected_awmae,5,0.75,0.15,0.0,0.0,0.0,2.9230763210830855,1.0062198527545063,0.11214775323686214,0.5924727088093424,0.23711601929423712
dixon_bivar_expected_awmae,4,1.0,0.06,0.0,0.0,-0.1,2.923129132708164,1.0083142929677582,0.11443259710586444,0.5888550393500889,0.24054328509774053
dixon_bivar_expected_awmae,4,1.0,0.15,0.0,0.0,-0.15,2.9231917901383673,1.0033955318608785,0.11532114749936533,0.5828890581365829,0.23933739527798933
