max_score,draw_margin,outcome_weight,gd_weight,prior_weight,mode,AW-MAE,MAE_raw_component,exact_acc,outcome_acc,goal_diff_acc
7,0.0,0.35,0.0,0.0,outcome_aware,3.011070874594019,1.0339257378609965,0.09298635353855919,0.5843224373214853,0.22189781021897811
5,0.0,0.35,0.1,0.0,outcome_aware,3.011092379594044,1.027991113932085,0.09590606156775627,0.5778483021263091,0.22856236115518883
5,0.0,0.35,0.0,0.03,outcome_aware,3.011392339166233,1.0330053951126625,0.09438273563947953,0.5831799428752776,0.22424627102507141
6,0.1,0.35,0.03,0.06,outcome_aware,3.0119048994681523,1.026372580133291,0.097429387496033,0.5761345604569977,0.2290701364646144
7,0.1,0.35,0.03,0.06,outcome_aware,3.0122104772478684,1.0265947318311648,0.09723897175499842,0.5761345604569977,0.22887972072357982
6,0.2,0.35,0.1,0.06,outcome_aware,3.012716042861631,1.020596635988575,0.09958743256109172,0.5689622342113615,0.23306886702634083
5,0.0,0.35,0.0,0.01,outcome_aware,3.0128749549812675,1.0340526816883528,0.09292288162488099,0.5838146620120597,0.22208822596001268
5,0.0,0.35,0.03,0.0,outcome_aware,3.0131306131086824,1.032180260234846,0.09419231989844494,0.5819105046017138,0.22399238337035862
7,0.2,0.35,0.1,0.06,outcome_aware,3.0132405561557896,1.0208505236432879,0.09939701682005712,0.5689622342113615,0.23287845128530626
5,0.0,0.35,0.0,0.0,outcome_aware,3.0134764611718174,1.0347826086956522,0.0924785782291336,0.5843224373214853,0.22177086639162172
5,0.1,0.35,0.03,0.06,outcome_aware,3.013950257228884,1.0271977150111076,0.09679466835925103,0.5761345604569977,0.22868930498254522
6,0.1,0.35,0.06,0.03,outcome_aware,3.0140634270930677,1.026372580133291,0.09761980323706759,0.5760076166296414,0.2291970802919708
6,0.2,0.35,0.1,0.03,outcome_aware,3.0142161583171205,1.0216439225642653,0.09901618533798794,0.5699143129165344,0.23230720406220248
6,0.1,0.35,0.1,0.06,outcome_aware,3.0143450867424457,1.0233576642335767,0.09831799428752777,0.5712472231037766,0.23059346239289114
7,0.1,0.35,0.06,0.03,outcome_aware,3.014396395039426,1.0265947318311648,0.097429387496033,0.5760076166296414,0.2290066645509362
6,0.2,0.35,0.03,0.06,outcome_aware,3.0144963076645652,1.0227864170104728,0.09869882576959696,0.5714376388448111,0.2318629006664551
7,0.2,0.35,0.1,0.03,outcome_aware,3.014546966290844,1.021866074262139,0.09888924151063154,0.5699143129165344,0.2321802602348461
