mode,max_score,classifier_weight,gd_weight,prior_weight,AW-MAE,MAE_raw_component,exact_acc,outcome_acc,goal_diff_acc
classifier_aware,4,0.1,0.0,0.0,3.0354926448463484,1.0165651180502666,0.10154861640010154,0.5606118304138106,0.23413302868748415
classifier_aware,4,0.1,0.03,0.06,3.035616900401085,1.0144706778370145,0.10281797410510282,0.5582000507743082,0.2355927900482356
classifier_aware,4,0.1,0.0,0.01,3.0357939949665647,1.0161525767961412,0.1018024879411018,0.56004061944656,0.23413302868748415
classifier_aware,4,0.1,0.03,0.0,3.036295990303466,1.0164064483371413,0.10167555217060167,0.5604848946433105,0.23324447829398323
classifier_aware,4,0.1,0.06,0.06,3.0364725237226793,1.0143437420665145,0.10294490987560294,0.5583269865448083,0.2348946433104849
classifier_aware,4,0.1,0.03,0.03,3.036598906250916,1.0153592282305153,0.10269103833460269,0.5594059405940595,0.23476770753998477
classifier_aware,4,0.1,0.0,0.03,3.0367643079023576,1.0162160446813913,0.10154861640010154,0.5595328763645595,0.23438690022848438
classifier_aware,4,0.1,0.03,0.01,3.0368323976060765,1.015993907083016,0.10199289159685199,0.5596598121350597,0.2333079461792333
classifier_aware,5,0.1,0.1,0.06,3.038482075575964,1.0146293475501396,0.10072353389185072,0.5588347296268088,0.23127697385123128
classifier_aware,5,0.1,0.1,0.03,3.038989524999197,1.0152957603452653,0.10104087331810103,0.5604848946433105,0.23146737750698146
classifier_aware,5,0.1,0.1,0.01,3.0395379554455793,1.0165333841076416,0.10021579080985021,0.5611830413810612,0.23121350596598123
classifier_aware,5,0.1,0.06,0.03,3.039631506802569,1.0163112465092663,0.10053313023610053,0.56010408733181,0.23197512058898198
classifier_aware,5,0.1,0.06,0.0,3.0399810938853746,1.0173584666158924,0.09983498349834984,0.5610561056105611,0.23121350596598123
classifier_aware,5,0.1,0.03,0.06,3.040383470566616,1.0154226961157655,0.10104087331810103,0.5582000507743082,0.23368875349073367
classifier_aware,5,0.1,0.06,0.01,3.040610020130986,1.0165968519928916,0.10053313023610053,0.5604848946433105,0.2314039096217314
classifier_aware,5,0.1,0.0,0.06,3.040729715884879,1.0153274942878903,0.10078700177710079,0.5577557755775577,0.23375222137598375
classifier_aware,5,0.1,0.1,0.0,3.0413546785607584,1.0177075399847677,0.0992003046458492,0.5613734450368114,0.23115003808073115
classifier_aware,5,0.1,0.06,0.06,3.042078884371238,1.0156448337141406,0.10097740543285098,0.5583269865448083,0.2328002030972328
classifier_aware,5,0.1,0.0,0.0,3.0425434828496676,1.0182470170093934,0.09932724041634933,0.5606118304138106,0.2314039096217314
classifier_aware,5,0.1,0.0,0.03,3.04281135206403,1.0175488702716426,0.0997080477278497,0.5595328763645595,0.23216552424473216
classifier_aware,5,0.1,0.0,0.01,3.0431912189279995,1.017961411525768,0.09951764407209952,0.56004061944656,0.23146737750698146
classifier_aware,4,0.05,0.1,0.01,3.043346654492996,1.0144389438943895,0.10231023102310231,0.5562325463315563,0.2333079461792333
classifier_aware,5,0.1,0.03,0.03,3.043350937168384,1.016882457476517,0.10078700177710079,0.5594059405940595,0.2326097994414826
classifier_aware,4,0.05,0.0,0.06,3.0435305451130525,1.0123445036811374,0.10351612084285351,0.5518532622493019,0.23654480832698654
classifier_aware,5,0.1,0.03,0.01,3.0436090162907985,1.0176123381568927,0.10008885503935008,0.5596598121350597,0.23115003808073115
classifier_aware,5,0.1,0.03,0.0,3.0436242552426287,1.0183104848946434,0.09964457984259964,0.5604848946433105,0.23102310231023102
classifier_aware,4,0.05,0.1,0.03,3.043640620110674,1.0136455953287637,0.10256410256410256,0.5550901243970551,0.23337141406448336
classifier_aware,4,0.05,0.1,0.0,3.0440775129967728,1.0151688245747652,0.10199289159685199,0.5567402894135567,0.23343488194973344
classifier_aware,4,0.05,0.06,0.01,3.0451948767106005,1.0146293475501396,0.10243716679360244,0.555026656511805,0.23356181772023357
classifier_aware,4,0.05,0.03,0.01,3.0456466538830353,1.0148514851485149,0.1025006346788525,0.5545823813150546,0.23425996445798425
classifier_aware,4,0.05,0.0,0.01,3.0459205950216255,1.0148514851485149,0.10199289159685199,0.5535668951510536,0.23394262503173394
classifier_aware,4,0.05,0.06,0.0,3.045922331090155,1.0154226961157655,0.10218329525260218,0.5555978674790556,0.23368875349073367
classifier_aware,4,0.05,0.06,0.06,3.045947835564703,1.0126301091647627,0.10357958872810358,0.5528052805280528,0.23476770753998477
classifier_aware,4,0.05,0.1,0.06,3.046040331663818,1.0124397055090124,0.10262757044935263,0.5528687484133029,0.232990606752983
classifier_aware,4,0.05,0.03,0.03,3.046093761029127,1.0136773292713888,0.10313531353135313,0.5531860878395531,0.23445036811373446
classifier_aware,4,0.05,0.0,0.03,3.046209695744882,1.013994668697639,0.10224676313785225,0.5526148768723026,0.23400609291698402
classifier_aware,4,0.05,0.03,0.06,3.046285249413399,1.0128205128205128,0.10370652449860371,0.552043665905052,0.2355927900482356
classifier_aware,4,0.05,0.0,0.0,3.046845934214259,1.0154226961157655,0.1018024879411018,0.553947702462554,0.2334983498349835
classifier_aware,4,0.05,0.03,0.0,3.0469111908062456,1.0156448337141406,0.10237369890835238,0.5549631886265549,0.23400609291698402
classifier_aware,4,0.05,0.06,0.03,3.0469458643638596,1.0135186595582635,0.10294490987560294,0.5532495557248033,0.23337141406448336
classifier_aware,5,0.05,0.0,0.06,3.048976543372289,1.0136138613861385,0.10161208428535161,0.5518532622493019,0.2345773038842346
classifier_aware,5,0.05,0.1,0.03,3.049630201834869,1.0151053566895152,0.10091393754760092,0.5550901243970551,0.23172124904798172
classifier_aware,5,0.05,0.1,0.01,3.0501290136457357,1.0162160446813913,0.10040619446560041,0.5562325463315563,0.2314039096217314
classifier_aware,5,0.05,0.03,0.06,3.0510518195789293,1.0137725310992638,0.10192942371160194,0.552043665905052,0.23368875349073367
classifier_aware,5,0.05,0.1,0.0,3.051157303901044,1.017136329017517,0.10002538715410003,0.5567402894135567,0.23153084539223154
classifier_aware,5,0.05,0.1,0.06,3.051311364472947,1.0137725310992638,0.10091393754760092,0.5528687484133029,0.23102310231023102
classifier_aware,5,0.05,0.06,0.06,3.0515541962132624,1.0139312008123889,0.10161208428535161,0.5528052805280528,0.23267326732673269
